SUE,Coordination_Cost,Human_Minutes,Requests_Total,Requests_Denied,Blocking_Prob,Mean_Quality,Total_Active_Users,Correct_SUE,Num_Interfering_Assignments,Interference_Rate,architecture_id,coordination_mode,licensing_mode,freq_plan,interference_mitigation,sensing_mode,pricing_mode,enforcement_mode,priority_mode
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Exclusive
