SUE,SUE_traditional,Coordination_Index,coord_queries,Human_Minutes,Requests_Total,Requests_Denied,Blocking_Prob,Mean_Quality,Total_Active_Users,Correct_SUE,Num_Interfering_Assignments,Interference_Rate,architecture_id,coordination_mode,licensing_mode,freq_plan,interference_mitigation,sensing_mode,pricing_mode,enforcement_mode,priority_mode
0.00000815,0.40522222,4717442.90000000,29.00000000,4717440.00000000,52,23,0.44230769,1.00000000,22,0.40522222,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Hierarchical
0.00000852,0.47677778,6289922.30000000,23.00000000,6289920.00000000,52,29,0.55769231,1.00000000,23,0.47677778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Co-Primary
0.00000111,0.13170370,3144960.30000000,3.00000000,3144960.00000000,52,49,0.94230769,1.00000000,3,0.13170370,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Exclusive
0.00000815,0.40522222,2358722.90000000,29.00000000,2358720.00000000,52,23,0.44230769,1.00000000,22,0.40522222,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Hierarchical
0.00000852,0.47677778,3144962.30000000,23.00000000,3144960.00000000,52,29,0.55769231,1.00000000,23,0.47677778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Co-Primary
0.00000111,0.13170370,1572480.30000000,3.00000000,1572480.00000000,52,49,0.94230769,1.00000000,3,0.13170370,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Exclusive
0.00000852,0.43037037,3900962.90000000,29.00000000,3900960.00000000,43,14,0.32558140,1.00000000,23,0.43037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Hierarchical
0.00000963,0.46485185,5201282.60000000,26.00000000,5201280.00000000,43,17,0.39534884,1.00000000,26,0.46485185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Co-Primary
0.00000111,0.12859259,2600640.30000000,3.00000000,2600640.00000000,43,40,0.93023256,1.00000000,3,0.12859259,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Exclusive
0.00000852,0.43037037,1950482.90000000,29.00000000,1950480.00000000,43,14,0.32558140,1.00000000,23,0.43037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Hierarchical
