SUE,SUE_traditional,Coordination_Index,coord_queries,Human_Minutes,Requests_Total,Requests_Denied,Blocking_Prob,Mean_Quality,Total_Active_Users,Correct_SUE,Num_Interfering_Assignments,Interference_Rate,architecture_id,coordination_mode,licensing_mode,freq_plan,interference_mitigation,sensing_mode,pricing_mode,enforcement_mode,priority_mode
0.00000889,0.56785185,16601760.02166666,65.00000000,16601760.00000000,183,118,0.64480874,1.00000000,24,0.56785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Hierarchical
0.00000926,0.60977778,22135680.00833333,25.00000000,22135680.00000000,183,158,0.86338798,1.00000000,25,0.60977778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Co-Primary
0.00000111,0.11037037,11067840.00100000,3.00000000,11067840.00000000,183,180,0.98360656,1.00000000,3,0.11037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Active,Exclusive
0.00000889,0.56785185,8300880.02166667,65.00000000,8300880.00000000,183,118,0.64480874,1.00000000,24,0.56785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Hierarchical
0.00000926,0.60977778,11067840.00833333,25.00000000,11067840.00000000,183,158,0.86338798,1.00000000,25,0.60977778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Co-Primary
0.00000111,0.11037037,5533920.00100000,3.00000000,5533920.00000000,183,180,0.98360656,1.00000000,3,0.11037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,No Cost,Passive,Exclusive
0.00000852,0.58807407,13698720.01500000,45.00000000,13698720.00000000,151,106,0.70198675,1.00000000,23,0.58807407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Hierarchical
0.00000889,0.56111111,18264960.00800000,24.00000000,18264960.00000000,151,127,0.84105960,1.00000000,24,0.56111111,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Co-Primary
0.00000111,0.06577778,9132480.00100000,3.00000000,9132480.00000000,151,148,0.98013245,1.00000000,3,0.06577778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Active,Exclusive
0.00000852,0.58807407,6849360.01500000,45.00000000,6849360.00000000,151,106,0.70198675,1.00000000,23,0.58807407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Hierarchical
0.00000889,0.56111111,9132480.00800000,24.00000000,9132480.00000000,151,127,0.84105960,1.00000000,24,0.56111111,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Co-Primary
0.00000111,0.06577778,4566240.00100000,3.00000000,4566240.00000000,151,148,0.98013245,1.00000000,3,0.06577778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Usage Based,Passive,Exclusive
0.00000889,0.52488889,13063680.02033333,61.00000000,13063680.00000000,144,83,0.57638889,1.00000000,24,0.52488889,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Hierarchical
0.00001000,0.69740741,17418240.00900000,27.00000000,17418240.00000000,144,117,0.81250000,1.00000000,27,0.69740741,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Co-Primary
0.00000111,0.05288889,8709120.00100000,3.00000000,8709120.00000000,144,141,0.97916667,1.00000000,3,0.05288889,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Active,Exclusive
0.00000889,0.52488889,6531840.02033333,61.00000000,6531840.00000000,144,83,0.57638889,1.00000000,24,0.52488889,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Hierarchical
0.00001000,0.69740741,8709120.00900000,27.00000000,8709120.00000000,144,117,0.81250000,1.00000000,27,0.69740741,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Co-Primary
0.00000111,0.05288889,4354560.00100000,3.00000000,4354560.00000000,144,141,0.97916667,1.00000000,3,0.05288889,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Exclusive
0.00000889,0.56785185,18973440.02166667,65.00000000,18973440.00000000,183,118,0.64480874,1.00000000,24,0.56785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Hierarchical
0.00000926,0.60977778,25297920.00833333,25.00000000,25297920.00000000,183,158,0.86338798,1.00000000,25,0.60977778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Co-Primary
0.00000111,0.11037037,12648960.00100000,3.00000000,12648960.00000000,183,180,0.98360656,1.00000000,3,0.11037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Exclusive
0.00000889,0.56785185,9486720.02166667,65.00000000,9486720.00000000,183,118,0.64480874,1.00000000,24,0.56785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Hierarchical
0.00000926,0.60977778,12648960.00833333,25.00000000,12648960.00000000,183,158,0.86338798,1.00000000,25,0.60977778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Co-Primary
0.00000111,0.11037037,6324480.00100000,3.00000000,6324480.00000000,183,180,0.98360656,1.00000000,3,0.11037037,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Exclusive
0.00000852,0.58807407,15655680.01500000,45.00000000,15655680.00000000,151,106,0.70198675,1.00000000,23,0.58807407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Hierarchical
0.00000889,0.56111111,20874240.00800000,24.00000000,20874240.00000000,151,127,0.84105960,1.00000000,24,0.56111111,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Co-Primary
0.00000111,0.06577778,10437120.00100000,3.00000000,10437120.00000000,151,148,0.98013245,1.00000000,3,0.06577778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Exclusive
0.00000852,0.58807407,7827840.01500000,45.00000000,7827840.00000000,151,106,0.70198675,1.00000000,23,0.58807407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Hierarchical
0.00000889,0.56111111,10437120.00800000,24.00000000,10437120.00000000,151,127,0.84105960,1.00000000,24,0.56111111,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Co-Primary
0.00000111,0.06577778,5218560.00100000,3.00000000,5218560.00000000,151,148,0.98013245,1.00000000,3,0.06577778,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Exclusive
0.00000889,0.52488889,14929920.02033333,61.00000000,14929920.00000000,144,83,0.57638889,1.00000000,24,0.52488889,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Active,Hierarchical
